City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
89,Ilulissat,GL,2021-05-31 22:15:15,69.2167,-51.1,33.82,75,75,5.75
90,Nabire,ID,2021-05-31 22:15:16,-3.3667,135.4833,76.19,95,100,3.36
91,Kapit,MY,2021-05-31 22:15:16,2.0167,112.9333,72.63,99,74,0.36
92,Sioux Lookout,CA,2021-05-31 22:15:16,50.1001,-91.917,70.18,40,40,9.22
93,Nadvoitsy,RU,2021-05-31 22:15:17,63.8667,34.3167,49.15,83,96,6.6
94,Erzin,TR,2021-05-31 22:15:17,36.9559,36.2,72.32,83,0,3.96
95,Santa Maria,BR,2021-05-31 22:11:37,-29.6842,-53.8069,51.55,75,34,2.37
96,Kruisfontein,ZA,2021-05-31 22:15:18,-34.0033,24.7314,48.88,84,4,7.83
97,Menongue,AO,2021-05-31 22:15:18,-14.6585,17.691,53.08,35,2,3.4
98,Lazaro Cardenas,MX,2021-05-31 22:15:19,17.9583,-102.2,88.21,64,78,10.89
99,Kaitangata,NZ,2021-05-31 22:11:45,-46.2817,169.8464,48.92,81,79,6.82
100,Brae,GB,2021-05-31 22:15:19,60.3964,-1.353,46.31,88,19,11.27
101,Airai,TL,2021-05-31 22:15:20,-8.9266,125.4092,57.18,92,100,2.13
102,Olinda,BR,2021-05-31 22:14:02,-8.0089,-34.8553,74.93,88,75,10.67
103,Wufeng,CN,2021-05-31 22:15:20,27.45,104.8333,58.3,96,99,2.04
104,Legnago,IT,2021-05-31 22:15:21,45.1832,11.3091,62.89,64,0,4.5
105,Castro,BR,2021-05-31 22:14:34,-24.7911,-50.0119,56.17,98,99,2.82
106,Santo Antonio,BR,2021-05-31 22:15:21,-6.3106,-35.4789,78.76,95,9,6.64
107,Hithadhoo,MV,2021-05-31 22:15:22,-0.6,73.0833,83.55,68,87,16.67
108,Huaidian,CN,2021-05-31 22:15:22,33.4333,115.0333,76.39,65,84,2.21
109,Faya,SA,2021-05-31 22:15:22,18.3851,42.4509,75.31,17,5,7.87
110,Fairbanks,US,2021-05-31 22:15:23,64.8378,-147.7164,71.56,37,75,0.0
111,Neiafu,TO,2021-05-31 22:15:23,-18.65,-173.9833,75.88,88,75,3.44
112,Adrar,MR,2021-05-31 22:15:23,20.5022,-10.0711,90.25,30,69,6.98
113,Shu,KZ,2021-05-31 22:15:24,43.5983,73.7614,67.68,43,0,10.36
114,Talnakh,RU,2021-05-31 22:15:24,69.4865,88.3972,31.71,95,99,5.5
115,Saint-Philippe,RE,2021-05-31 22:10:24,-21.3585,55.7679,72.95,78,27,8.32
116,Constantine,DZ,2021-05-31 22:11:21,36.365,6.6147,70.92,60,100,4.65
117,Goderich,CA,2021-05-31 22:15:25,43.7501,-81.7165,69.21,28,83,8.05
118,Meulaboh,ID,2021-05-31 22:15:25,4.1363,96.1285,76.39,89,98,4.27
